exp	split	score	sharpe	return_pct	max_dd_pct	trades	win_rate	profit_factor	symbols	date	notes
baseline	val	936.14	25.07	1203.5	0.7396	15631	75.5	9.55	BTC/ETH/SOL	2026-03-27	30% sizing, BTC/ETH/SOL only
exp0-base-confirm	val	936.14	25.07	1203.5	0.7396	15631	75.5	9.55	BTC/ETH/SOL	2026-03-27	baseline confirmation: 0.30 sizing
exp1-size032	val	994.32	24.99	1431.9	0.7889	15631	75.5	9.56	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=0.32
exp2-size035	val	1080.64	24.87	1847.6	0.8628	15631	75.5	9.57	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=0.35
exp3-size038	val	1165.83	24.76	2369.6	0.9368	15631	75.5	9.58	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=0.38
exp4-size040	val	1221.99	24.68	2789.1	0.9861	15631	75.5	9.58	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=0.40
exp5-size045	val	1359.61	24.48	4155.3	1.1316	15631	75.5	9.59	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=0.45
exp6-size050	val	1493.91	24.29	6124.0	1.2814	15631	75.5	9.59	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=0.50
exp7-size060	val	1752.65	23.90	12944.3	1.5926	15631	75.5	9.60	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=0.60
exp8-size075	val	2113.95	23.32	37526.8	2.0842	15631	75.5	9.59	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=0.75
exp9-size090	val	2448.60	22.74	102248.1	2.6001	15631	75.5	9.59	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=0.90
exp10-size100	val	2656.10	22.36	193038.9	2.9546	15631	75.5	9.59	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=1.00
exp11-size120	val	3025.02	21.60	638563.2	3.6809	15631	75.5	9.58	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=1.20
exp12-size150	val	3496.10	20.47	3215795.9	4.7893	15631	75.5	9.58	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=1.50
exp13-size180	val	3861.92	19.36	13147545.7	5.9420	15631	75.5	9.57	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=1.80
exp14-size200	val	4040.53	18.63	30036120.8	6.8435	15631	75.5	9.57	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=2.00
exp15-size220	val	4184.62	17.90	62792596.7	7.7836	15631	75.5	9.56	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=2.20
exp16-size240	val	4282.27	17.19	120255149.0	8.7597	15631	75.5	9.55	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=2.40
